 seq | path_seq | end_vid | node  | edge  |       cost       |     agg_cost     
  70 |       25 |    9224 | 11615 | 19308 | 8.24984162613557 | 529.423798426287
  71 |       26 |    9224 |  2778 | 19307 | 15.8946341946029 | 537.673640052422
  72 |       27 |    9224 |  2964 | 19306 | 12.2308502253616 | 553.568274247025
  73 |       28 |    9224 |  7869 | 19088 | 86.6549427874448 | 565.799124472387
  74 |       29 |    9224 |  9990 | 20393 | 79.9569750653582 | 652.454067259832
  75 |       30 |    9224 |  6992 | 20392 |  94.710541979303 |  732.41104232519
  76 |       31 |    9224 |    94 | 13470 | 19.4254829439341 | 827.121584304493
  77 |       32 |    9224 |  1007 | 19179 |   80.66085913057 | 846.547067248427
  78 |       33 |    9224 |   174 | 20384 | 29.5030049764708 | 927.207926378997
  79 |       34 |    9224 |   199 |  6301 | 72.3251075980845 | 956.710931355468
  80 |       35 |    9224 |  9153 |  6300 | 11.1676877043869 | 1029.03603895355
  81 |       36 |    9224 |  3338 |  6299 |  76.375819556296 | 1040.20372665794
  82 |       37 |    9224 | 13203 |  6298 | 25.6366908933222 | 1116.57954621424
  83 |       38 |    9224 | 10104 |  6297 |  7.4406678952637 | 1142.21623710756
  84 |       39 |    9224 |  4096 |  6296 | 28.7594299002777 | 1149.65690500282
  85 |       40 |    9224 | 15346 | 20388 | 11.7225119918359 |  1178.4163349031
  86 |       41 |    9224 | 15694 |  4562 | 67.6205287123165 | 1190.13884689493
  87 |       42 |    9224 | 12284 |  4561 | 6.61662323402174 | 1257.75937560725
  88 |       43 |    9224 | 11204 |  4560 | 13.3944947746719 | 1264.37599884127
  89 |       44 |    9224 | 12838 |  4558 | 38.1245758535969 | 1277.77049361594
  90 |       45 |    9224 |  2595 |  4559 | 42.6336813256604 | 1315.89506946954
  91 |       46 |    9224 |  4676 |  8168 | 15.3929714640095 |  1358.5287507952
  92 |       47 |    9224 |  3456 |  8167 | 11.8683693296658 | 1373.92172225921
  93 |       48 |    9224 |  3477 |  8166 | 7.37672299929922 | 1385.79009158888
  94 |       49 |    9224 |  4551 |  1071 | 63.0504906386191 | 1393.16681458818
  95 |       50 |    9224 |  5894 |  1074 | 16.2923546318245 |  1456.2173052268
  96 |       51 |    9224 |    97 |  1075 | 7.30158662947286 | 1472.50965985862
  97 |       52 |    9224 |  9981 | 17566 | 8.55925772954955 | 1479.81124648809
  98 |       53 |    9224 |  7365 | 17567 | 88.7191194949846 | 1488.37050421764
  99 |       54 |    9224 |  9783 |  3750 |  23.652887417845 | 1577.08962371263
 100 |       55 |    9224 |  9765 | 18292 | 12.5706394548025 | 1600.74251113047
 101 |       56 |    9224 | 10042 |  5746 | 5.73746869512169 | 1613.31315058527
 102 |       57 |    9224 | 13899 | 14574 | 13.0763121697071 |  1619.0506192804
 103 |       58 |    9224 |  8935 | 18562 | 5.33004026537109 |  1632.1269314501
 104 |       59 |    9224 | 12237 | 18563 | 32.8216394322923 | 1637.45697171547
 105 |       60 |    9224 | 13998 | 18561 | 41.8365160140774 | 1670.27861114777
 106 |       61 |    9224 |  7908 | 10969 | 8.03935226621607 | 1712.11512716184
 107 |       62 |    9224 | 13281 | 10968 | 9.49874224132999 | 1720.15447942806
 108 |       63 |    9224 | 11139 |  6491 | 9.26511765704051 | 1729.65322166939
 109 |       64 |    9224 |  5874 | 18336 | 5.69731564310177 | 1738.91833932643
 110 |       65 |    9224 |  8016 | 18305 | 7.08599261079426 | 1744.61565496953
 111 |       66 |    9224 | 16045 | 18790 | 37.7884594503012 | 1751.70164758033
 112 |       67 |    9224 | 15391 | 18791 | 66.8980879911976 | 1789.49010703063
 113 |       68 |    9224 |  5214 |  6710 | 13.9262578014744 | 1856.38819502183
 114 |       69 |    9224 |  4540 |  6711 |  46.421815690639 |  1870.3144528233
 115 |       70 |    9224 |  9224 |    -1 |                0 | 1916.73626851394
(115 rows)

