 seq |  gid  |          name           |        cost         |     azimuth      |                                                                                                                             route_readable                                                                                                                              |                                                                                                                                                                                         route_geom                                                                                                                                                                                         
  10 |  9276 | Summer Street           |  0.0735837785242783 | 117.854689391022 | LINESTRING(-71.0428787 42.346582,-71.0422726 42.3462617)                                                                                                                                                                                                                | 0102000020E6100000020000007B8C4D86BEC251C0EEB089CC5C2C454015A12298B4C251C0BEADAA4D522C4540
  11 | 18765 | Summer Street           |  0.0171717428653313 |   118.0239901678 | LINESTRING(-71.0422726 42.3462617,-71.0421315 42.3461866)                                                                                                                                                                                                               | 0102000020E61000000200000015A12298B4C251C0BEADAA4D522C454069A85148B2C251C01FA8AED74F2C4540
  12 | 18763 | D Street                |  0.0142367934392995 | 50.4941886627578 | LINESTRING(-71.0421315 42.3461866,-71.0420352 42.346266)                                                                                                                                                                                                                | 0102000020E61000000200000069A85148B2C251C01FA8AED74F2C4540F95168B4B0C251C0BEDBBC71522C4540
  13 | 18764 | D Street                |     0.0422278366178 | 50.4699063198211 | LINESTRING(-71.0420352 42.346266,-71.0417497 42.3465016)                                                                                                                                                                                                                | 0102000020E610000002000000F95168B4B0C251C0BEDBBC71522C45408A07EF06ACC251C07F01182A5A2C4540
  14 | 19820 | D Street                | 0.00930280495806409 | 50.4733039530504 | LINESTRING(-71.0417497 42.3465016,-71.0416868 42.3465535)                                                                                                                                                                                                               | 0102000020E6100000020000008A07EF06ACC251C07F01182A5A2C454031AB1CFFAAC251C03C6876DD5B2C4540
  15 | 17445 | D Street                | 0.00855593753684319 |   50.51713597098 | LINESTRING(-71.0416868 42.3465535,-71.0416289 42.3466012)                                                                                                                                                                                                               | 0102000020E61000000200000031AB1CFFAAC251C03C6876DD5B2C45406204430CAAC251C08F60996D5D2C4540
  16 | 15637 | D Street                |   0.053493905480869 |  50.249248396176 | LINESTRING(-71.0416289 42.3466012,-71.0412688 42.3469007)                                                                                                                                                                                                               | 0102000020E6100000020000006204430CAAC251C08F60996D5D2C45401796E425A4C251C0D1BAFC3D672C4540
  17 |  3269 | D Street                | 0.00747206424752287 | 50.7536125897522 | LINESTRING(-71.0412688 42.3469007,-71.041218 42.3469422)                                                                                                                                                                                                                | 0102000020E6100000020000001796E425A4C251C0D1BAFC3D672C45406B80D250A3C251C0184D1D9A682C4540
  18 | 18759 | D Street                |  0.0398537131748448 | 49.8699417160816 | LINESTRING(-71.041218 42.3469422,-71.0410361 42.3470908,-71.0409518 42.3471666)                                                                                                                                                                                         | 0102000020E6100000030000006B80D250A3C251C0184D1D9A682C454025DDE055A0C251C0095FA9786D2C4540976D4CF49EC251C0BBA184F46F2C4540
  19 | 16396 | D Street                |  0.0541036090365401 | 46.2408067042895 | LINESTRING(-71.0409518 42.3471666,-71.0407137 42.3474044,-71.0406169 42.3474873)                                                                                                                                                                                        | 0102000020E610000003000000976D4CF49EC251C0BBA184F46F2C4540F27FA20D9BC251C0463E54BF772C45408E4AA07799C251C03EA3BE767A2C4540
  20 |  9289 | Silver Line Way         |  0.0251054524685886 | 112.262069143208 | LINESTRING(-71.0406169 42.3474873,-71.0403946 42.3473963)                                                                                                                                                                                                               | 0102000020E6100000020000008E4AA07799C251C03EA3BE767A2C4540D77B3BD395C251C02EA0617B772C4540
  21 | 16043 | Silver Line Way         |  0.0969077112420747 | 105.130803079466 | LINESTRING(-71.0403946 42.3473963,-71.0402893 42.3473511,-71.0401966 42.3473163,-71.0401046 42.3472839,-71.0400107 42.347252,-71.0399209 42.3472243,-71.0398319 42.3472009,-71.0397444 42.3471835,-71.0396585 42.3471687,-71.0395653 42.3471572,-71.0394815 42.3471494) | 0102000020E61000000B000000D77B3BD395C251C02EA0617B772C45403D78921994C251C0645D3700762C4540449AC29492C251C012EF4ADC742C4540D45AE21291C251C0B37680CC732C45405DFF09898FC251C03CBCE7C0722C454052FB63108EC251C031708AD8712C45409AF5189B8CC251C025523F14712C4540BF8C182C8BC251C0FC1A4982702C45408A20CEC389C251C0F0582206702C45409D63E53C88C251C01449AAA56F2C454002D369DD86C251C0BBE93B646F2C4540
  22 | 14353 | Silver Line Way         |  0.0126002746578369 |  94.239723625209 | LINESTRING(-71.0394815 42.3471494,-71.0393547 42.34714)                                                                                                                                                                                                                 | 0102000020E61000000200000002D369DD86C251C0BBE93B646F2C4540695C93C984C251C0159161156F2C4540
  23 | 14352 | Silver Line Way         |  0.0671604162143323 | 89.0123851091139 | LINESTRING(-71.0393547 42.34714,-71.0392452 42.3471364,-71.0391207 42.3471377,-71.038676 42.3471517)                                                                                                                                                                    | 0102000020E610000004000000695C93C984C251C0159161156F2C454099A14CFE82C251C026A02EF76E2C45402FC61BF480C251C0B55A16026F2C4540F7C8E6AA79C251C01A2087776F2C4540
  24 | 14351 | Silver Line Way         |  0.0464547132775842 | 89.6585221724515 | LINESTRING(-71.038676 42.3471517,-71.0382062 42.3471545)                                                                                                                                                                                                                | 0102000020E610000002000000F7C8E6AA79C251C01A2087776F2C454049E06AF871C251C06214048F6F2C4540
  25 |  9287 | Silver Line Way         |  0.0447080689252215 | 90.6720976169185 | LINESTRING(-71.0382062 42.3471545,-71.0378511 42.3471553,-71.0377544 42.3471492)                                                                                                                                                                                        | 0102000020E61000000300000049E06AF871C251C06214048F6F2C4540872705276CC251C00811BA956F2C4540ED516E916AC251C0916A8E626F2C4540
  26 |  9286 | Silver Line Way         |   0.082375154292055 | 115.933626733957 | LINESTRING(-71.0377544 42.3471492,-71.0376861 42.3471336,-71.0376256 42.3471111,-71.0375693 42.3470852,-71.037061 42.346812)                                                                                                                                            | 0102000020E610000005000000ED516E916AC251C0916A8E626F2C4540E2C0F57269C251C0DFABB1DF6E2C4540835F347568C251C00F4AF3226E2C45405AB5108967C251C07B76AF496D2C454040BD19355FC251C020EEEA55642C4540
  27 | 15576 | Haul Road               |  0.0677397195944514 | 43.0929727895055 | LINESTRING(-71.037061 42.346812,-71.037059 42.346813,-71.0366705 42.3472294)                                                                                                                                                                                            | 0102000020E61000000300000040BD19355FC251C020EEEA55642C45407041B62C5FC251C0F0694E5E642C4540978E39CF58C251C0D89A5203722C4540
  28 | 15572 | Haul Road               |  0.0615269543218642 | 55.1714102195302 | LINESTRING(-71.0366705 42.3472294,-71.0363266 42.3474955,-71.0362959 42.3475146,-71.0362642 42.3475305,-71.0362202 42.3475427)                                                                                                                                          | 0102000020E610000005000000978E39CF58C251C0D89A5203722C454064BECD2C53C251C0EB0088BB7A2C4540A6DE09AC52C251C0F6F0C05B7B2C45400041142752C251C067EE21E17B2C4540189D876E51C251C0553B79477C2C4540
  29 | 15958 |                         | 0.00657425405878911 | 85.8340678607035 | LINESTRING(-71.0362202 42.3475427,-71.0361854 42.347543,-71.0361543 42.3475475)                                                                                                                                                                                         | 0102000020E610000003000000189D876E51C251C0553B79477C2C4540EE6591DC50C251C0147AFD497C2C45400707205A50C251C03D27BD6F7C2C4540
  30 |  4007 | Northern Avenue         |  0.0668064608637913 | 123.312035637714 | LINESTRING(-71.0361543 42.3475475,-71.0360943 42.3475372,-71.0360469 42.3475266,-71.0360014 42.3475067,-71.0359613 42.347478,-71.0358196 42.3473192,-71.0357825 42.347288,-71.0357302 42.3472563,-71.035666 42.3472266)                                                 | 0102000020E6100000090000000707205A50C251C03D27BD6F7C2C45409C84775E4FC251C05B1256197C2C4540D227A8974EC251C0BBBE6AC07B2C45400EE7D0D84DC251C008D27B197B2C4540FCDA9F304DC251C02D0ABB287A2C454092A34ADE4AC251C0EEA29EF4742C454039D1AE424AC251C08925E5EE732C4540B11E526749C251C03CEAF9E4722C454011E50B5A48C251C090A6D5EB712C4540
  31 |  8374 | Northern Avenue         |   0.108520520223976 | 136.026885697745 | LINESTRING(-71.035666 42.3472266,-71.0351521 42.3466748,-71.0350907 42.3466184,-71.0350277 42.346565)                                                                                                                                                                   | 0102000020E61000000400000011E50B5A48C251C090A6D5EB712C4540B0F897EE3FC251C0762C00D75F2C4540333910ED3EC251C08E18E2FD5D2C4540107DD2E43DC251C01878EE3D5C2C4540
(31 rows)

