 seq | path_seq | node  | edge  |        cost         |     agg_cost      |          name           |                                                                                                                               route_geom                                                                                                                                
  12 |       12 |  4407 | 18763 |  0.0142367934392995 | 0.813440785041246 | D Street                | LINESTRING(-71.0421315 42.3461866,-71.0420352 42.346266)
  13 |       13 |   277 | 18764 |     0.0422278366178 | 0.827677578480545 | D Street                | LINESTRING(-71.0420352 42.346266,-71.0417497 42.3465016)
  14 |       14 | 10706 | 19820 | 0.00930280495806409 | 0.869905415098345 | D Street                | LINESTRING(-71.0417497 42.3465016,-71.0416868 42.3465535)
  15 |       15 | 14492 | 17445 | 0.00855593753684319 | 0.879208220056409 | D Street                | LINESTRING(-71.0416868 42.3465535,-71.0416289 42.3466012)
  16 |       16 | 10355 | 15637 |   0.053493905480869 | 0.887764157593253 | D Street                | LINESTRING(-71.0416289 42.3466012,-71.0412688 42.3469007)
  17 |       17 |   176 |  3269 | 0.00747206424752287 | 0.941258063074122 | D Street                | LINESTRING(-71.0412688 42.3469007,-71.041218 42.3469422)
  18 |       18 |  2184 | 18759 |  0.0398537131748448 | 0.948730127321645 | D Street                | LINESTRING(-71.041218 42.3469422,-71.0410361 42.3470908,-71.0409518 42.3471666)
  19 |       19 |  9413 | 16396 |  0.0541036090365401 | 0.988583840496489 | D Street                | LINESTRING(-71.0409518 42.3471666,-71.0407137 42.3474044,-71.0406169 42.3474873)
  20 |       20 |  3451 |  9289 |  0.0251054524685886 |  1.04268744953303 | Silver Line Way         | LINESTRING(-71.0406169 42.3474873,-71.0403946 42.3473963)
  21 |       21 |  7585 | 16043 |  0.0969077112420747 |  1.06779290200162 | Silver Line Way         | LINESTRING(-71.0403946 42.3473963,-71.0402893 42.3473511,-71.0401966 42.3473163,-71.0401046 42.3472839,-71.0400107 42.347252,-71.0399209 42.3472243,-71.0398319 42.3472009,-71.0397444 42.3471835,-71.0396585 42.3471687,-71.0395653 42.3471572,-71.0394815 42.3471494)
  22 |       22 |  4934 | 14353 |  0.0126002746578369 |  1.16470061324369 | Silver Line Way         | LINESTRING(-71.0394815 42.3471494,-71.0393547 42.34714)
  23 |       23 | 12112 | 14352 |  0.0671604162143323 |  1.17730088790153 | Silver Line Way         | LINESTRING(-71.0393547 42.34714,-71.0392452 42.3471364,-71.0391207 42.3471377,-71.038676 42.3471517)
  24 |       24 | 11906 | 14351 |  0.0464547132775842 |  1.24446130411586 | Silver Line Way         | LINESTRING(-71.038676 42.3471517,-71.0382062 42.3471545)
  25 |       25 |  4752 |  9287 |  0.0447080689252215 |  1.29091601739345 | Silver Line Way         | LINESTRING(-71.0382062 42.3471545,-71.0378511 42.3471553,-71.0377544 42.3471492)
  26 |       26 |  6108 |  9286 |   0.082375154292055 |  1.33562408631867 | Silver Line Way         | LINESTRING(-71.0377544 42.3471492,-71.0376861 42.3471336,-71.0376256 42.3471111,-71.0375693 42.3470852,-71.037061 42.346812)
  27 |       27 |  4650 | 15576 |  0.0677397195944514 |  1.41799924061072 | Haul Road               | LINESTRING(-71.037061 42.346812,-71.037059 42.346813,-71.0366705 42.3472294)
  28 |       28 |  6034 | 15572 |  0.0615269543218642 |  1.48573896020517 | Haul Road               | LINESTRING(-71.0366705 42.3472294,-71.0363266 42.3474955,-71.0362959 42.3475146,-71.0362642 42.3475305,-71.0362202 42.3475427)
  29 |       29 |   157 | 15958 | 0.00657425405878911 |  1.54726591452704 |                         | LINESTRING(-71.0362202 42.3475427,-71.0361854 42.347543,-71.0361543 42.3475475)
  30 |       30 |  9016 |  4007 |  0.0668064608637913 |  1.55384016858583 | Northern Avenue         | LINESTRING(-71.0361543 42.3475475,-71.0360943 42.3475372,-71.0360469 42.3475266,-71.0360014 42.3475067,-71.0359613 42.347478,-71.0358196 42.3473192,-71.0357825 42.347288,-71.0357302 42.3472563,-71.035666 42.3472266)
  31 |       31 |  7444 |  8374 |   0.108520520223976 |  1.62064662944962 | Northern Avenue         | LINESTRING(-71.035666 42.3472266,-71.0351521 42.3466748,-71.0350907 42.3466184,-71.0350277 42.346565)
(31 rows)

